Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/27/2021,08/27/2021,PURCHASE CHARGE,Fees & Adjustments,Fee,-39.99,
08/24/2021,08/24/2021,Restaurant1,Food & Drink,Sale,-21.95,
08/20/2021,08/20/2021,Restaurant2,Food & Drink,Sale,-25.04,
08/18/2021,08/18/2021,FOOOD1,Food & Drink,Sale,-8.90,
08/18/2021,08/18/2021,Restaurant3,Food & Drink,Sale,-21.47,
08/17/2021,08/17/2021,BREWERY,Food & Drink,Sale,-8.70,
08/14/2021,08/14/2021,SHOOT,Food & Drink,Sale,-29.54,
08/15/2021,08/15/2021,Restaurant4,Food & Drink,Sale,-7.54,
08/11/2021,08/11/2021,Electricity,Uilities,Sale,-30.00,
08/11/2021,08/11/2021,Grocery,Food & Drink,Sale,-34.14,
08/11/2021,08/11/2021,Restaurant1,Food & Drink,Sale,-8.49,
08/10/2021,08/10/2021,Drug,Health & Wellness,Sale,-50.00,
08/09/2021,08/09/2021,Payment,,Payment,75.00,
08/09/2021,08/09/2021,FOOD,Food & Drink,Sale,-5.45,
08/09/2021,08/09/2021,FOOD1,Food & Drink,Sale,-24.23,
08/01/2021,08/01/2021,McDonalds,Food & Drink,Sale,-50.95,
